genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/chicken_galGal5/gg5.ens90.P2000M.gtf none -d MP_16_chicken_1A.M MP_17_chicken_2A.M MP_18_chicken_3A.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	MP_16_chicken_1A.M (2734712.0 total)	MP_17_chicken_2A.M (2690336.0 total)	MP_18_chicken_3A.M (3577958.0 total)
gga-mir-2127	ENSGALT00000042570	chr1	165879963	165880066	+	103.0	1	0.000	0.000	0.000	0.000
gga-mir-1773	ENSGALT00000042468	chr20	8317045	8317122	+	77.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039651	ENSGALT00000079268	chrUn_NT_475064v1	1824	5882	+	2547.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032064	ENSGALT00000074888	chr2_NT_458258v1_random	5811	10439	+	2685.0	1	0.000	0.000	0.000	0.000
DCLRE1A	ENSGALT00000033097	chr6	27575607	27591633	-	5489.0	1	0.000	2.000	10.000	14.000
ENSGALG00000040515	ENSGALT00000056341	chrUn_NT_472274v1	3927	8708	+	3388.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044714	ENSGALT00000086184	chr2	15888370	15892729	-	924.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039592	ENSGALT00000076197	chr26	2371678	2377679	-	2477.0	1	0.000	0.000	0.000	0.000
ENSGALG00000027137	ENSGALT00000045274	chr2	81075862	81075951	+	89.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040853	ENSGALT00000078843	chr1_NT_456126v1_random	21532	24946	-	2370.0	1	0.000	0.000	0.000	0.000
C19orf24	ENSGALT00000052668	chr28	3108656	3111773	+	2527.0	1	0.000	205.000	220.000	275.000
ENSGALG00000046669	ENSGALT00000072776	chr1	171961608	171966981	+	1699.0	1	0.000	0.000	0.000	0.000
ANK3	ENSGALT00000081697	chr6	8891330	9091849	+	14343.0	1	0.000	2.000	1.000	0.000
TCFL5	ENSGALT00000083760	chr20	8563332	8570179	-	3531.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046203	ENSGALT00000088489	chrUn_NT_464512v1	2631	5733	-	3066.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039348	ENSGALT00000073531	chr1_NT_456166v1_random	1657	14762	+	2549.0	1	0.000	0.000	0.000	0.000
ENSGALG00000000669	ENSGALT00000058192	chr25	1335270	1343139	+	2564.0	1	0.000	5.000	5.000	8.000
ENSGALG00000045580	ENSGALT00000090299	chr3	23378026	23379976	+	441.0	1	0.000	0.000	0.000	0.000
RPS20	ENSGALT00000023311	chr2	111559784	111562438	-	486.0	1	0.000	1906.000	1872.000	2722.000
Agrp	ENSGALT00000084146	chr11	1457324	1459802	-	694.0	1	0.000	13.000	8.000	18.000
AURKA	ENSGALT00000084307	chr20	12229788	12236352	+	1793.0	1	0.000	6.000	2.000	5.000
GCM1	ENSGALT00000026323	chr3	88656612	88665923	+	3892.0	1	0.000	0.000	0.000	0.000
SRGAP1	ENSGALT00000015976	chr1	33440188	33580652	+	6097.0	1	0.000	2.000	6.000	6.000
ENSGALG00000041075	ENSGALT00000075781	chrUn_NT_468417v1	10440	13397	+	2277.0	1	0.000	0.000	0.000	0.000
ENSGALG00000000556	ENSGALT00000000772	chr21	266263	269577	+	564.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037873	ENSGALT00000068344	chrUn_NT_467097v1	9350	15721	+	3740.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040776	ENSGALT00000075970	chrUn_NT_465142v1	9275	10716	-	406.0	1	0.000	0.000	0.000	0.000
DRC3	ENSGALT00000067670	chr14	5000566	5014849	+	1507.0	1	0.000	0.000	0.000	0.000
GAL3ST2	ENSGALT00000010271	chr9	4749643	4754097	-	1458.0	1	0.000	0.000	0.000	0.000
LYPD1	ENSGALT00000019883	chr7	29919061	29935624	-	2424.0	1	0.000	15.000	13.000	26.000
TOM1L2	ENSGALT00000007838	chr14	4946185	4999287	-	7763.0	1	0.000	32.000	47.000	52.000
ENSGALG00000036740	ENSGALT00000081866	chrUn_NT_468244v1	21	3451	+	3011.0	1	0.000	0.000	0.000	0.000
WNT6	ENSGALT00000038238	chr7	22525187	22535210	-	3351.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037055	ENSGALT00000068238	chr3	34800847	34802107	+	1039.0	1	0.000	99.000	66.000	99.000
ENSGALG00000009041	ENSGALT00000014719	chr3	8162949	8163839	+	890.0	1	0.000	0.000	0.000	0.000
SNRNP40	ENSGALT00000041219	chr23	566349	579100	-	3570.0	1	0.000	78.000	64.000	90.000
PPEF1	ENSGALT00000061130	chr1	120456892	120482164	-	3789.0	1	0.000	1.000	0.000	0.000
SORD	ENSGALT00000083625	chr10	992558	1009457	-	1856.0	1	0.000	28.000	24.000	46.000
DRD3	ENSGALT00000045199	chr1	82979190	82991119	+	3022.0	1	0.000	0.000	0.000	0.000
PRKCB	ENSGALT00000078523	chr14	6697241	6770233	+	3986.0	1	0.000	167.000	172.000	217.000
GATAD2B	ENSGALT00000057287	chrUn_NT_464188v1	7517	40496	-	8778.0	1	0.000	0.000	0.000	0.000
ENSGALG00000033936	ENSGALT00000064086	chrZ	64297553	64297618	+	65.0	1	0.000	0.000	0.000	0.000
SERPINI1	ENSGALT00000084132	chr9	20659328	20700348	-	3952.0	1	0.000	8.000	9.000	19.000
ENSGALG00000029753	ENSGALT00000054170	chrUn_NT_471690v1	2305	7159	-	656.0	1	0.000	0.000	0.000	0.000
HPGD	ENSGALT00000032201	chr4	44051784	44077636	-	1662.0	1	0.000	0.000	0.000	0.000
ENSGALG00000014976	ENSGALT00000031549	chr2	102935684	102951602	+	1153.0	1	0.000	0.000	0.000	0.000
ENSGALG00000020813	ENSGALT00000033368	chr9	13705897	13741832	-	3167.0	1	0.000	225.000	288.000	390.000
PDX1	ENSGALT00000080732	chr1	176080150	176084982	-	2693.0	1	0.000	0.000	0.000	0.000
TOP1	ENSGALT00000005832	chr20	4865269	5043775	+	3123.0	1	0.000	125.000	140.000	149.000
ENSGALG00000015075	ENSGALT00000024318	chr1	80638660	80648642	-	4177.0	1	0.000	3.000	0.000	2.000
ENSGALG00000044944	ENSGALT00000086484	chrUn_NT_471066v1	21	4140	-	3004.0	1	0.000	0.000	0.000	0.000
CAMK2N1	ENSGALT00000087326	chr21	4882805	4883526	-	231.0	1	0.000	0.000	0.000	1.000
PDZK1IP1	ENSGALT00000017056	chr8	21965205	21969200	-	894.0	1	0.000	1.000	0.000	1.000
ENSGALG00000035959	ENSGALT00000066560	chr2	50116432	50141035	-	1081.0	1	0.000	24.000	18.000	37.000
ENSGALG00000017357	ENSGALT00000073781	chr18	4281736	4285890	+	2756.0	1	0.000	592.000	591.000	671.000
SMPD1	ENSGALT00000082997	chr1	194447530	194453332	-	3826.0	1	0.000	644.000	677.000	938.000
ENSGALG00000026038	ENSGALT00000045747	chr14	14838941	14841124	-	1995.0	1	0.000	0.000	0.000	0.000
ENSGALG00000008107	ENSGALT00000013162	chr4	13928520	13947574	+	3492.0	1	0.000	1.000	3.000	2.000
SRD5A2	ENSGALT00000017289	chr3	33821540	33843067	+	2759.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046147	ENSGALT00000089514	chrW	2994930	3042508	-	4039.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040757	ENSGALT00000053295	chrUn_NT_470188v1	4264	7144	-	398.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039016	ENSGALT00000073770	chr1	65653394	65655431	+	1366.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037269	ENSGALT00000082350	chr27	5414456	5421053	-	2292.0	1	0.000	0.000	1.000	0.000
ENSGALG00000041306	ENSGALT00000071212	chr13	1793628	1796451	+	2492.0	1	0.000	0.000	0.000	0.000
CRYAA	ENSGALT00000036695	chr1	109772357	109775750	+	1307.0	1	0.000	0.000	1.000	0.000
ENSGALG00000029939	ENSGALT00000048015	chr13	1061458	1067516	+	660.0	1	0.000	0.000	0.000	0.000
ENSGALG00000000106	ENSGALT00000000145	chr26	1069630	1080947	-	3646.0	1	0.000	45.000	42.000	53.000
MCAM	ENSGALT00000069425	chr24	4208880	4219491	+	4772.0	1	0.000	0.000	1.000	1.000
ENSGALG00000045652	ENSGALT00000087906	chrUn_NT_464787v1	12771	18847	+	3717.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031533	ENSGALT00000069034	chr1	194629590	194630564	-	974.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037265	ENSGALT00000073459	chrUn_NT_468863v1	2821	9677	+	3529.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045458	ENSGALT00000085132	chrZ	63454519	63474796	+	976.0	1	0.000	2.000	0.000	0.000
ADCY9	ENSGALT00000088476	chr14	12640325	12699702	-	5590.0	1	0.000	44.000	51.000	53.000
ENSGALG00000002492	ENSGALT00000003926	chr21	3292836	3298662	+	1361.0	1	0.000	0.000	0.000	0.000
ATP1B4	ENSGALT00000047228	chr4	16507389	16513395	-	952.0	1	0.000	0.000	0.000	0.000
TIFA	ENSGALT00000019728	chr4	57543611	57550315	+	2760.0	1	0.000	4.000	1.000	7.000
FUNDC1	ENSGALT00000043269	chr1	111018604	111035154	+	2980.0	1	0.000	85.000	92.000	99.000
GPATCH2	ENSGALT00000015679	chr3	19767184	19872620	+	7153.0	1	0.000	27.000	12.000	30.000
ENSGALG00000014589	ENSGALT00000023521	chr28	2232860	2236904	+	615.0	1	0.000	0.000	1.000	3.000
U8	ENSGALT00000061832	chrUn_NT_468546v1	8822	8945	+	123.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036751	ENSGALT00000056250	chrUn_NT_474342v1	2291	5008	+	2276.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044241	ENSGALT00000088663	chr11	630125	631840	+	1715.0	1	0.000	0.000	0.000	0.000
ENSGALG00000012621	ENSGALT00000020603	chrZ	41977884	42019651	+	3880.0	1	0.000	11.000	17.000	22.000
OSER1	ENSGALT00000006887	chr20	5642720	5648265	+	3039.0	1	0.000	103.000	105.000	125.000
ENSGALG00000038116	ENSGALT00000068956	chrUn_NT_464347v1	16835	21283	-	3067.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037189	ENSGALT00000075914	chrUn_NT_464150v1	39239	48324	+	3924.0	1	0.000	0.000	0.000	0.000
ID2	ENSGALT00000079911	chr3	96269602	96271725	+	1371.0	1	0.000	261.000	234.000	361.000
gga-mir-6608-2	ENSGALT00000045533	chr1	65898377	65898486	+	109.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032907	ENSGALT00000080340	chr25	1024532	1025227	-	306.0	1	0.000	0.000	0.000	0.000
MGLL	ENSGALT00000061435	chr12	9622587	9680239	+	5557.0	1	0.000	87.000	68.000	100.000
GABRP	ENSGALT00000003373	chr13	3488060	3498167	-	1321.0	1	0.000	0.000	0.000	0.000
KIT	ENSGALT00000047850	chr4	65682458	65734704	-	5182.0	1	0.000	0.000	0.000	0.000
WISP2	ENSGALT00000081522	chr20	5486264	5491556	-	3038.0	1	0.000	0.000	0.000	1.000
ENSGALG00000036847	ENSGALT00000072851	chr6	5153672	5163888	+	737.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036515	ENSGALT00000080919	chr1_NT_456909v1_random	2577	6568	+	3909.0	1	0.000	0.000	0.000	0.000
ENSGALG00000011718	ENSGALT00000037416	chr5	52971778	52983605	-	2568.0	1	0.000	105.000	113.000	164.000
SEC24C	ENSGALT00000008325	chr6	15933923	15962119	-	5228.0	1	0.000	253.000	220.000	301.000
SUGT1	ENSGALT00000036497	chr1	165723569	165746139	-	1490.0	1	0.000	207.000	200.000	236.000
CDK1	ENSGALT00000088351	chr6	8734950	8742881	-	1113.0	1	0.000	26.000	24.000	28.000
ENSGALG00000039874	ENSGALT00000082621	chr9	16044143	16046075	-	313.0	1	0.000	0.000	1.000	0.000
ENSGALG00000029573	ENSGALT00000081459	chr11_NT_461910v1_random	3991	4476	-	295.0	1	0.000	0.000	0.000	0.000
ENSGALG00000029919	ENSGALT00000050423	chr3_NT_459072v1_random	6490	10322	+	2726.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035662	ENSGALT00000058116	chrUn_NT_467590v1	7774	12047	+	3482.0	1	0.000	0.000	0.000	0.000
LAP3	ENSGALT00000028108	chr4	76530989	76542831	-	1899.0	1	0.000	80.000	61.000	58.000
ENSGALG00000046296	ENSGALT00000085527	chr8_NT_461355v1_random	4069	6033	-	713.0	1	0.000	0.000	0.000	0.000
ARX	ENSGALT00000075667	chr1	117839213	117843292	+	1527.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031791	ENSGALT00000072186	chrUn_NT_468567v1	2207	12545	+	2465.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046142	ENSGALT00000090086	chrUn_NT_470688v1	1358	7632	-	2296.0	1	0.000	0.000	0.000	0.000
ENSGALG00000033843	ENSGALT00000054179	chrUn_NT_465492v1	7382	9795	+	2321.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045779	ENSGALT00000086821	chr3	103301527	103303108	+	297.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038357	ENSGALT00000046259	chrZ_NT_463636v1_random	8897	12214	-	3122.0	1	0.000	0.000	0.000	0.000
HMBS	ENSGALT00000090319	chr24	36245	38198	-	1088.0	1	0.000	128.000	142.000	150.000
PPARGC1A	ENSGALT00000062986	chr4	74532279	74593998	+	2242.0	1	0.000	0.000	0.000	1.000
EPHA7	ENSGALT00000025144	chr3	74171528	74327787	+	3910.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041547	ENSGALT00000054403	chr12	7012349	7015424	-	312.0	1	0.000	0.000	1.000	0.000
TSPAN18	ENSGALT00000047652	chr5	22127305	22175544	+	918.0	1	0.000	0.000	0.000	0.000
MARCO	ENSGALT00000046537	chr7	28632405	28643115	-	3390.0	1	0.000	6.000	10.000	18.000
BRIX1	ENSGALT00000005332	chrZ	10563582	10569349	+	3405.0	1	0.000	64.000	69.000	112.000
ZNF395	ENSGALT00000056717	chr3	106123198	106132102	+	3422.0	1	0.000	11.000	20.000	34.000
CRADD	ENSGALT00000018428	chr1	44903758	44979576	+	2913.0	1	0.000	53.000	36.000	56.000
ENSGALG00000030856	ENSGALT00000046413	chr21	1840523	1841256	-	456.0	1	0.000	1.000	0.000	1.000
ENSGALG00000030726	ENSGALT00000073135	chrUn_NT_467263v1	3962	7281	-	3124.0	1	0.000	0.000	0.000	0.000
SNX18	ENSGALT00000024052	chrZ	16452976	16472369	+	3803.0	1	0.000	23.000	8.000	20.000
ENSGALG00000041876	ENSGALT00000063927	chr33_NT_463451v1_random	725549	726527	+	351.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043148	ENSGALT00000053848	chrUn_NT_464349v1	6520	10222	-	2476.0	1	0.000	0.000	0.000	0.000
CHAMP1	ENSGALT00000027144	chr1	136898933	136901779	-	2846.0	1	0.000	2.000	5.000	13.000
CPSF3	ENSGALT00000026493	chr3	96606823	96624780	+	2270.0	1	0.000	96.000	101.000	118.000
TTYH3	ENSGALT00000006863	chr14	3247590	3315833	-	5408.0	1	0.000	1395.000	1106.000	1593.000
ENSGALG00000026152	ENSGALT00000069561	chr12	2254875	2259291	-	2019.0	1	0.000	720.000	371.000	472.000
ENSGALG00000034110	ENSGALT00000070100	chr2	149533723	149536143	-	2361.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039984	ENSGALT00000065311	chrUn_NT_472952v1	3301	7812	+	3832.0	1	0.000	0.000	0.000	0.000
gga-mir-1570	ENSGALT00000042151	chr7	16837290	16839389	+	2099.0	1	0.000	0.000	0.000	0.000
TMEM17	ENSGALT00000046007	chr3	9116692	9123791	-	3556.0	1	0.000	12.000	7.000	15.000
ENSGALG00000045926	ENSGALT00000087555	chrUn_NT_468307v1	2456	4185	-	500.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035074	ENSGALT00000050714	chrUn_NT_472355v1	62	2396	-	1908.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038656	ENSGALT00000059762	chrUn_NT_464165v1	15162	43970	+	7233.0	1	0.000	0.000	0.000	0.000
ENSGALG00000001078	ENSGALT00000001613	chr21	1244896	1246231	-	1335.0	1	0.000	0.000	0.000	0.000
COX5B	ENSGALT00000066573	chrUn_NT_464304v1	21902	22402	-	292.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044537	ENSGALT00000089347	chrZ_NT_463835v1_random	3667	4162	-	171.0	1	0.000	0.000	0.000	0.000
MRPL53	ENSGALT00000070957	chr2	121886469	121890988	+	1739.0	1	0.000	30.000	23.000	25.000
ENSGALG00000045153	ENSGALT00000085586	chr4_NT_459862v1_random	3321	5276	-	1569.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044974	ENSGALT00000086168	chr2_NT_458754v1_random	1179	3680	-	1873.0	1	0.000	0.000	0.000	0.000
ENSGALG00000029998	ENSGALT00000067136	chrUn_NT_471125v1	6335	9983	+	3249.0	1	0.000	0.000	0.000	0.000
ZMAT3	ENSGALT00000074730	chr9	17631538	17638974	+	2861.0	1	0.000	1.000	16.000	2.000
ENSGALG00000032231	ENSGALT00000049747	chr16	58543	72898	-	5033.0	1	0.000	487.000	573.000	711.000
SPRYD7	ENSGALT00000027476	chr1	169356153	169365083	-	1785.0	1	0.000	48.000	41.000	45.000
GLS	ENSGALT00000065193	chr7	7863678	7918149	+	4135.0	1	0.000	115.000	87.000	164.000
ENSGALG00000045442	ENSGALT00000084742	chrZ_NT_463626v1_random	23638	28479	+	2475.0	1	0.000	0.000	0.000	0.000
WDR24	ENSGALT00000003862	chr14	13206704	13212446	-	2663.0	1	0.000	44.000	66.000	80.000
ENSGALG00000045024	ENSGALT00000085096	chrUn_NT_471708v1	4172	8770	+	3982.0	1	0.000	0.000	0.000	0.000
MCM5	ENSGALT00000084159	chr1	52144223	52146199	-	832.0	1	0.000	5.000	12.000	16.000
ENSGALG00000027683	ENSGALT00000044730	chr1	56589369	56589475	-	106.0	1	0.000	0.000	0.000	0.000
gga-mir-130a	ENSGALT00000058007	chr15	407968	408050	-	82.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035977	ENSGALT00000055124	chr17	1663700	1665238	+	773.0	1	0.000	0.000	0.000	0.000
ENSGALG00000006329	ENSGALT00000065840	chr13	15315536	15317780	-	383.0	1	0.000	0.000	0.000	0.000
DENND6A	ENSGALT00000009076	chr12	8732634	8754106	-	5538.0	1	0.000	93.000	70.000	76.000
FoxN4	ENSGALT00000008117	chr15	6732758	6747406	-	2481.0	1	0.000	1.000	1.000	0.000
ITM2B	ENSGALT00000030149	chr1	168710780	168736807	+	1562.0	1	0.000	535.000	537.000	731.000
ENSGALG00000044088	ENSGALT00000084130	chrUn_NT_470291v1	244	10451	+	2899.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041005	ENSGALT00000047613	chrUn_NT_464697v1	17670	18329	-	95.0	1	0.000	0.000	0.000	0.000
OSBPL7	ENSGALT00000066141	chr27	4232184	4240046	+	4845.0	1	0.000	21.000	22.000	27.000
BNIP3	ENSGALT00000017059	chr6	34842510	34850063	-	3536.0	1	0.000	311.000	417.000	460.000
ENSGALG00000038510	ENSGALT00000067948	chr1_NT_457032v1_random	1806	6369	-	3163.0	1	0.000	0.000	0.000	0.000
ENSGALG00000040404	ENSGALT00000052188	chrUn_NT_466725v1	11587	16459	+	4781.0	1	0.000	0.000	0.000	0.000
RPS2	ENSGALT00000008816	chr14	6177190	6181856	-	2916.0	1	0.000	1428.000	1372.000	2033.000
SNRPE	ENSGALT00000000190	chr26	1667873	1672176	+	2935.0	1	0.000	160.000	183.000	201.000
gga-mir-3064	ENSGALT00000045775	chr18	6961443	6961566	-	123.0	1	0.000	9.000	6.000	10.000
ITK	ENSGALT00000046888	chr13	11430235	11445164	-	344.0	1	0.000	0.000	0.000	0.000
OSBPL3	ENSGALT00000056593	chr2	31704354	31771000	-	2959.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032597	ENSGALT00000078720	chr27_NT_463353v1_random	1019	5217	-	1435.0	1	0.000	0.000	0.000	0.000
ANO9	ENSGALT00000006804	chr5	1498469	1507574	+	2140.0	1	0.000	0.000	0.000	0.000
gga-mir-7443	ENSGALT00000058621	chr18	9815975	9818033	+	2058.0	1	0.000	0.000	0.000	1.000
ENSGALG00000001335	ENSGALT00000002041	chr18	2287671	2294491	+	2143.0	1	0.000	163.000	148.000	188.000
CLNS1A	ENSGALT00000087284	chr1	193062957	193069296	+	1064.0	1	0.000	92.000	106.000	117.000
ENSGALG00000026317	ENSGALT00000044369	chr5	8354609	8354704	-	95.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037612	ENSGALT00000083386	chrZ	77195244	77260093	+	476.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032477	ENSGALT00000057628	chrUn_NT_467926v1	1975	13585	+	3586.0	1	0.000	0.000	0.000	0.000
PHTF1	ENSGALT00000002857	chr26	3717995	3729665	-	4224.0	1	0.000	185.000	143.000	109.000
ENSGALG00000035641	ENSGALT00000070012	chr32	7390	11558	-	2967.0	1	0.000	45.000	45.000	54.000
F2RL2	ENSGALT00000038562	chrZ	23491744	23496829	+	3372.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045453	ENSGALT00000089905	chrUn_NT_466056v1	3704	6998	+	2972.0	1	0.000	0.000	0.000	0.000
IGF1R	ENSGALT00000074990	chr10	16697772	16838212	-	4635.0	1	0.000	76.000	87.000	123.000
ENSGALG00000036588	ENSGALT00000071191	chr20_NT_462824v1_random	9220	11882	-	601.0	1	0.000	0.000	0.000	0.000
SERPINF1	ENSGALT00000077035	chr19	5406929	5415789	+	3577.0	1	0.000	0.000	0.000	0.000
SNX20	ENSGALT00000088220	chr11	6298067	6310947	+	3679.0	1	0.000	11.000	12.000	10.000
ENSGALG00000034363	ENSGALT00000056161	chr7	17263708	17279667	-	1040.0	1	0.000	0.000	0.000	0.000
CTC1	ENSGALT00000068191	chr1	79378276	79392110	-	3465.0	1	0.000	5.000	9.000	14.000
ENSGALG00000046479	ENSGALT00000086506	chr15	9954835	9966253	-	1132.0	1	0.000	0.000	0.000	0.000
ESRP2	ENSGALT00000005333	chr11	3355582	3401130	+	5652.0	1	0.000	0.000	0.000	1.000
ENSGALG00000041171	ENSGALT00000076063	chrUn_NT_474410v1	21	4695	-	1032.0	1	0.000	0.000	0.000	0.000
LOXL2	ENSGALT00000000548	chr22	1213671	1249445	+	3528.0	1	0.000	1.000	1.000	0.000
PLD5	ENSGALT00000017474	chr3	35584264	35747135	+	1571.0	1	0.000	0.000	0.000	0.000
MACF1	ENSGALT00000050438	chr23	5359116	5472470	+	20109.0	1	0.000	601.000	501.000	682.000
SYK	ENSGALT00000032807	chrZ	44064049	44117933	+	6347.0	1	0.000	136.000	120.000	147.000
IFT52	ENSGALT00000071704	chr20	3780166	3792830	-	3822.0	1	0.000	27.000	28.000	40.000
MEP1B	ENSGALT00000085784	chr2	106703338	106725291	+	2150.0	1	0.000	0.000	0.000	0.000
NSD3	ENSGALT00000081329	chr22	2314115	2337687	-	6212.0	1	0.000	109.000	150.000	206.000
IQGAP2	ENSGALT00000081192	chrZ	23461599	23577675	-	5401.0	1	0.000	7.000	4.000	16.000
ENSGALG00000044529	ENSGALT00000088043	chr1_NT_457170v1_random	247	414	+	167.0	1	0.000	0.000	0.000	0.000
FAM98A	ENSGALT00000016982	chr3	31124273	31142155	+	4831.0	1	0.000	37.000	20.000	33.000
CRYM	ENSGALT00000003915	chr14	14992938	15001498	-	3097.0	1	0.000	93.000	113.000	136.000
ENSGALG00000016722	ENSGALT00000026986	chr1	130147538	130154046	-	1031.0	1	0.000	0.000	0.000	0.000
HMGN2	ENSGALT00000056521	chr23	157436	162761	-	3289.0	1	0.000	713.000	662.000	800.000
ENSGALG00000037508	ENSGALT00000063576	chr11_NT_461927v1_random	1632	2462	-	394.0	1	0.000	0.000	0.000	0.000
ST7	ENSGALT00000055784	chr1	24716503	24853831	-	1863.0	1	0.000	1.000	3.000	4.000
HOXA4	ENSGALT00000029853	chr2	32664501	32668803	-	3811.0	1	0.000	0.000	0.000	0.000
MFHAS1	ENSGALT00000018662	chr4	49810308	49830524	+	3235.0	1	0.000	4.000	16.000	18.000
gga-mir-1659	ENSGALT00000042067	chr7	13729424	13729524	-	100.0	1	0.000	0.000	0.000	0.000
MRPL17	ENSGALT00000004103	chrZ	9297783	9298741	-	805.0	1	0.000	351.000	317.000	398.000
ENSGALG00000033227	ENSGALT00000061750	chr26	3276771	3279508	+	477.0	1	0.000	0.000	0.000	0.000
ENSGALG00000042263	ENSGALT00000021778	chr1	48184357	48184737	+	380.0	1	0.000	10.000	5.000	17.000
ENSGALG00000011813	ENSGALT00000019286	chr7	28102696	28133209	-	5248.0	1	0.000	1.000	0.000	0.000
ENSGALG00000012610	ENSGALT00000088432	chrZ	41409060	41414022	+	1508.0	1	0.000	180.000	167.000	331.000
ARID4B	ENSGALT00000058666	chr3	38241567	38331305	+	10703.0	1	0.000	263.000	260.000	440.000
ENSGALG00000046631	ENSGALT00000089466	chr9	13647018	13694918	-	297.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034381	ENSGALT00000066167	chrUn_NT_468176v1	3320	13389	+	5420.0	1	0.000	0.000	0.000	0.000
RIC3	ENSGALT00000009600	chr5	10172603	10184824	+	1560.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030430	ENSGALT00000076356	chrUn_NT_466417v1	12648	16081	+	3033.0	1	0.000	0.000	0.000	0.000
C11orf1	ENSGALT00000012912	chr24	6215278	6218903	-	2365.0	1	0.000	0.000	0.000	0.000
HKDC1	ENSGALT00000006717	chr6	10852109	10868069	+	2719.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045020	ENSGALT00000085651	chrUn_NT_471770v1	1504	7254	-	4853.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035222	ENSGALT00000063064	chr28	784620	785349	+	567.0	1	0.000	3.000	4.000	5.000
CLDN19	ENSGALT00000039213	chr21	6395182	6399256	+	2623.0	1	0.000	0.000	0.000	0.000
VPS26B	ENSGALT00000002312	chr24	2545922	2552580	+	1000.0	1	0.000	67.000	80.000	102.000
GRPEL2	ENSGALT00000004213	chr13	8517217	8519938	-	662.0	1	0.000	3.000	4.000	4.000
NACC2	ENSGALT00000002652	chr17	8574504	8624639	+	2072.0	1	0.000	85.000	87.000	192.000
ENSGALG00000043824	ENSGALT00000047056	chrUn_NT_465166v1	7961	10392	+	2395.0	1	0.000	0.000	0.000	0.000
CCDC39	ENSGALT00000035401	chr9	17221332	17239888	+	5102.0	1	0.000	1.000	0.000	0.000
ENSGALG00000036715	ENSGALT00000071340	chrUn_NT_474619v1	243	3193	-	2451.0	1	0.000	0.000	0.000	0.000
F13A1	ENSGALT00000020886	chr2	65247235	65305803	+	3229.0	1	0.000	3.000	3.000	23.000
ENSGALG00000044066	ENSGALT00000084399	chrUn_NT_468483v1	5238	7230	-	778.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035205	ENSGALT00000056247	chr1	92727823	92784004	+	630.0	1	0.000	0.000	0.000	0.000
DHTKD1	ENSGALT00000005822	chr1	6275964	6294436	+	4736.0	1	0.000	13.000	7.000	7.000
ESYT3	ENSGALT00000019750	chr7	28436096	28465232	-	4499.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046063	ENSGALT00000089874	chr9	20723337	20727869	+	274.0	1	0.000	0.000	0.000	0.000
PLAU	ENSGALT00000008157	chr6	15491644	15501817	-	4370.0	1	0.000	7.000	2.000	12.000
ENSGALG00000044661	ENSGALT00000087747	chr28	1271207	1272845	-	722.0	1	0.000	0.000	0.000	2.000
